ASIN,Title,Author,PurchaseDate
"B0C7RNVSV7","Selling the Dream: The Billion-Dollar Industry Bankrupting Americans","Marie, Jane:","N/A"
"B0C9ZFMTBT","This Is Why You Dream: What Your Sleeping Brain Reveals About Your Waking Life","Jandial, Rahul:","N/A"
"B07NCV73V5","HEAVY METALS DETOX: The Easy Way to Detoxify - Detoxification Helps Protect Against Accelerated Aging, Sickness, Brain Fog, & Fatigue","LILLEY, JAMES:","N/A"
"B07PZXX8ZJ","The 40-Day Sugar Fast: Where Physical Detox Meets Spiritual Transformation (A Daily Devotional Journey to Stop Fixating on Food and Fix Your Eyes on Jesus)","Speake, Wendy:","N/A"
"B09PLLQYS9","Toxic: Heal Your Body from Mold Toxicity, Lyme Disease, Multiple Chemical Sensitivities, and Chronic Environmental Illness","Nathan, Neil:","N/A"
"B00ZP5WNWS","Whole Detox: A 21-Day Personalized Program to Break Through Barriers in Every Area of Your Life","Minich, Deanna:","N/A"
"B0BP9CVXM4","The Dr. Sebi Self-Healing Bible: [13 in 1] The Most Updated Herbalist’s Guide to Dr. Sebi Plant-Based Alkaline Diet and Non-Toxic Lifestyle to Restore the Body to Optimal Health and Wellness","Morris, Zachary:","N/A"
"B0CKC4LD8L","Fiat Food: Why Inflation Destroyed Our Health and How Bitcoin Fixes It","Lysiak, Matthew:Ammous, Saifedean:","N/A"
"B00LOOCGB2","Superintelligence: Paths, Dangers, Strategies","Bostrom, Nick:","N/A"
"B0C52ZJB3N","NO... The Psychology of Sales and Negotiations: 40 lessons in negotiation... from a street-smart negotiator (The Force Multiplier Series)","Will, Brian:","N/A"
"B0052MD8VO","Your Money or Your Life: 9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully Revised and Updated for 2018","Robin, Vicki:Dominguez, Joe:","N/A"
"B08B3HGMRL","The Better Brain: Overcome Anxiety, Combat Depression, and Reduce ADHD and Stress with Nutrition","Kaplan, Bonnie J.:Rucklidge, Julia J.:","N/A"
"B00JMSQ1YK","Med Free Bipolar: Thrive Naturally with the Med Free Method™","Morrow, Aspen:","N/A"
"B0CW8MYLMG","The Ai Accelerator: How to 10X Your Productivity, Clone Your Smartest Employees, and Monetize Your IP in the New Ai-Economy","Koenigs, Mike:","N/A"
"B0CW6ZT9MF","MY FIRST MILLION With ChatGPT: How to Make Money Online Using Artificial Intelligence. Achieve Business Success with a Blueprint to Master ChatGPT and Profit from Millionaire Prompts","Vasquez, Mauricio:Publishing, Mindscape Artwork:","N/A"
"B0056HP6ME","The Natural Medicine Guide to Bipolar Disorder: New Revised Edition","Marohn, Stephanie:","N/A"
"B08DMXF7ZZ","Crying in H Mart: A Memoir","Zauner, Michelle:","N/A"
"B07GNXPP4P","I Will Teach You to Be Rich: No Guilt. No Excuses. Just a 6-Week Program That Works (Second Edition)","Sethi, Ramit:","N/A"
"B00J38OUAQ","LinkedIn Riches: How To Use LinkedIn For Business, Sales and Marketing! Updated and Revised","Nemo, John:","N/A"
"B0CC6CT29H","Marketing Magic: How I produced 7 billion views, 50 million social media followers and $250,000,000 in yearly revenue without paid advertising!","Suarez, Manuel:","N/A"
"B0BNSN4MHR","The 7 Figure Side Hustle: Discover The Simple 3-Step Approach To Making Passive Income (The Internet Marketing Starter Pack Book 1)","Beckler, Miles:","N/A"
"B07R69ZT1V","Nutritional Treatments to Improve Mental Health Disorders: Non-Pharmaceutical Interventions for Depression, Anxiety, Bipolar & ADHD","Procyk, Anne:","N/A"
"B078QMCJNN","Owning Bipolar: How Patients and Families Can Take Control of Bipolar Disorder","Pipich, Michael G.:","N/A"
"B08P74BKKY","Neurobiology of Bipolar Disorder: Road to Novel Therapeutics","Quevedo, Joao:Carvalho, Andre Ferrer:Vieta, Eduard:","N/A"
