ASIN,Title,Author,PurchaseDate
"B087BQ7GB4","Medical Medium Cleanse to Heal: Healing Plans for Sufferers of Anxiety, Depression, Acne, Eczema, Lyme, Gut Problems, Brain Fog, Weight Issues, Migraines, Bloating, Vertigo, Psoriasis","William, Anthony:","N/A"
"B07KNSBFC4","Medical Medium Celery Juice: The Most Powerful Medicine of Our Time Healing Millions Worldwide (Medical Medium Series)","William, Anthony:","N/A"
"B01IRU0URC","Medical Medium Life-Changing Foods: Save Yourself and the Ones You Love with the Hidden Healing Powers of Fruits & Vegetables","William, Anthony:","N/A"
"B09HP6WYZP","Never, Ever Get Married","Moraffah, Tony:","N/A"
"B08WLX1FXD","The Office BFFs: Tales of The Office from Two Best Friends Who Were There","Fischer, Jenna:Kinsey, Angela:","N/A"
"B07GY3BF6C","The Highly Sensitive: How to Stop Emotional Overload, Relieve Anxiety, and Eliminate Negative Energy","Dyer, Judy:","N/A"
"B07G1YJ7DZ","Cry Like a Man: Fighting for Freedom from Emotional Incarceration","Wilson, Jason:","N/A"
"B079ZYWJJ8","Becoming","Obama, Michelle:","N/A"
"B099WXTZGM","Finding Me: A Memoir","Davis, Viola:","N/A"
"B08FGSQYND","Somebody's Daughter: A Memoir","Ford, Ashley C.:","N/A"
"B07GNGY9QR","Stop Doing That Sh*t: End Self-Sabotage and Demand Your Life Back (Unfu*k Yourself series)","Bishop, Gary John:","N/A"
"B07X9MH57F","My Vanishing Country: A Memoir","Sellers, Bakari:","N/A"
"B07MDZR94F","Unfuck Your Brain: Using Science to Get Over Anxiety, Depression, Anger, Freak-outs, and Triggers","Harper, Dr Faith G:","N/A"
"B09FYHZXBN","Just Keep Buying: Proven ways to save money and build your wealth","Nick Maggiulli:","N/A"
"B084HJSJJ2","The Psychology of Money: Timeless lessons on wealth, greed, and happiness","Morgan Housel:","N/A"
"B071F7C5NQ","Unfu*k Yourself: Get Out of Your Head and into Your Life (Unfu*k Yourself series)","Bishop, Gary John:","N/A"
"B097FVHC5M","Murder on the Red River (A Cash Blackbear Mystery Book 1)","Rendon, Marcie R.:","N/A"
"B08XYPW4G7","The 1619 Project: A New Origin Story","Hannah-Jones, Nikole:The New York Times Magazine:","N/A"
"B084FLWDQG","Caste (Oprah's Book Club): The Origins of Our Discontents","Wilkerson, Isabel:","N/A"
"B0871KZQ3G","The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together","McGhee, Heather:","N/A"
"B07DTJ8YNJ","Everything Is F*cked: A Book About Hope (The Subtle Art of Not Giving a F*ck (2 Book Series))","Manson, Mark:","N/A"
"B08776ZZY4","Think and Grow Rich","Hill, Napoleon:","N/A"
"B084H43ZXV","I Know This to be True: Bryan Stevenson: On Equality, Justice, and Compassion","Blackwell, Geoff:Hobday, Ruth:","N/A"
"B06XPVC236","The Science of Getting Rich","Wattles, Wallace D.:Conrad, Charles:","N/A"
"B07BZ4F75T","Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed","Gottlieb, Lori:","N/A"
"B07169V2MC","Open Season: Legalized Genocide of Colored People","Crump, Ben:","N/A"
"B01DHWACVY","Born a Crime: Stories from a South African Childhood","Noah, Trevor:","N/A"
"B019MMUA8S","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1)","Manson, Mark:","N/A"
"B00JYWVYLY","Just Mercy: A Story of Justice and Redemption","Stevenson, Bryan:","N/A"
"B01GZY28JA","Pachinko (National Book Award Finalist)","Lee, Min Jin:","N/A"
"B09N3D7QSQ","What We Owe the Future","MacAskill, William:","N/A"
"B072BLVM83","Educated: A Memoir","Westover, Tara:","N/A"
"B001ANYDAO","Outliers: The Story of Success","Gladwell, Malcolm:","N/A"
"B07DT1KYYY","Notes from a Young Black Chef: A Memoir","Onwuachi, Kwame:Stein, Joshua David:","N/A"
"B01CO349N4","Heavy: An American Memoir","Laymon, Kiese:","N/A"
"B07VP1SJ4F","Minor Feelings: An Asian American Reckoning","Hong, Cathy Park:","N/A"
"B07NDKVWZW","Talking to Strangers: What We Should Know about the People We Don't Know","Gladwell, Malcolm:","N/A"
"B09JPJ833S","I'm Glad My Mom Died","Mccurdy, Jennette:","N/A"
"B00486U8N6","The Moral Animal: Why We Are, the Way We Are: The New Science of Evolutionary Psychology","Wright, Robert:","N/A"
"B00J8R3IC8","The Meaning of Human Existence","Wilson, Edward O.:","N/A"
"B01GI5F2FS","The Selfish Gene: 40th Anniversary edition (Oxford Landmark Science)","Dawkins, Richard:","N/A"
"B004W2UBYW","Steve Jobs","Isaacson, Walter:","N/A"
"B08TB1TP7H","Amazon Unbound: Jeff Bezos and the Invention of a Global Empire","Stone, Brad:","N/A"
"B00BWQW73E","The Everything Store: Jeff Bezos and the Age of Amazon","Stone, Brad:","N/A"
"B006VUIDIY","The Introvert Advantage: How Quiet People Can Thrive in an Extrovert World","Laney Psy.D., Marti Olsen:","N/A"
"B004J4WNL2","Quiet: The Power of Introverts in a World That Can't Stop Talking","Cain, Susan:","N/A"
"B009G1PHP2","Structures: Or Why Things Don't Fall Down","Gordon, J. E.:","N/A"
"B01CXO4VRI","Behind Closed Doors: A Novel","Paris, B.A.:","N/A"
